dataset,model,rmse,rank
abalone,AdaptiveLassoOLS,0.720896,27
abalone,AdaptiveSparseRidge15,0.720978,32
abalone,AllRidgePlus1Quad,0.719011,12
abalone,BaggedOLS30,0.721965,53
abalone,ContribRidge90,0.720799,25
abalone,DT_large,0.797057,61
abalone,DT_mini,0.794185,60
abalone,DecisionTreeSimple,0.804593,64
abalone,EBM,0.710895,10
abalone,ElasticNetOLS,0.721231,42
abalone,FIGS_large,0.801452,63
abalone,FIGS_mini,0.793158,59
abalone,ForwardStepOLS,0.720315,17
abalone,GBM,0.735919,56
abalone,HSTree_large,0.769955,57
abalone,HSTree_mini,0.800492,62
abalone,HuberThreshOLS_1p5,0.721231,51
abalone,IterThreshOLS_1pct,0.720315,18
abalone,LassoBayesRidge,0.720842,26
abalone,LassoCV,0.720338,24
abalone,LassoHuber,0.732587,55
abalone,LassoLarsAIC_OLS,0.721231,45
abalone,LassoLarsAIC_Ridge,0.720978,33
abalone,LassoLarsAIC_Rounded3,0.721175,34
abalone,LassoLarsAIC_Thresh_2pct,0.720315,16
abalone,LassoLarsAIC_Thresh_OLS,0.720315,20
abalone,LassoLarsAIC_Top10,0.721231,37
abalone,LassoLarsAIC_Top15,0.721231,48
abalone,LassoLarsAIC_Top5,0.720896,28
abalone,LassoLarsBIC_OLS,0.721231,46
abalone,LassoOLS_all,0.721231,43
abalone,LinearPlus3Hinges,0.708411,7
abalone,MLP,0.708886,9
abalone,MutualInfoOLS,0.721231,47
abalone,OLS,0.721231,50
abalone,OMP_OLS10,0.721231,44
abalone,PearsonCorr_OLS10,0.721231,49
abalone,PyGAM,0.705364,6
abalone,QuantileBinOLS,0.827489,65
abalone,RF,0.732093,54
abalone,RidgeCV,0.721876,52
abalone,RidgeHinges3_v2,0.708411,8
abalone,RuleFit,0.784597,58
abalone,SignificanceOLS_t1,0.720315,22
abalone,SignificanceOLS_t2,0.720896,30
abalone,SparseHingeGAM,0.689656,2
abalone,SparsePoly2,0.692228,3
abalone,SparseRidge20,0.720978,31
abalone,StabilitySel_OLS,0.721231,35
abalone,TabPFN,0.670875,1
abalone,ThresholdOLS,0.720315,14
abalone,ThresholdOLS_0p5pct,0.721231,41
abalone,ThresholdOLS_1p5pct,0.720315,23
abalone,ThresholdOLS_1pct,0.720315,15
abalone,ThresholdOLS_3pct,0.720315,21
abalone,ThresholdOLS_5pct,0.720315,19
abalone,ThresholdRidge_1pct,0.720036,13
abalone,TopFeaturesOLS10,0.721231,38
abalone,TopFeaturesOLS12,0.721231,39
abalone,TopFeaturesOLS20,0.721231,40
abalone,TopFeaturesOLS5,0.720896,29
abalone,TopFeaturesOLS8,0.721231,36
abalone,TopFeaturesPoly2_5,0.693896,4
abalone,TopKHingeGAM20,0.704677,5
abalone,WinsorThreshOLS_1p5,0.714655,11
california,AdaptiveLassoOLS,2.178697,31
california,AdaptiveSparseRidge15,2.178053,27
california,AllRidgePlus1Quad,2.197821,58
california,BaggedOLS30,2.203139,59
california,ContribRidge90,2.194256,57
california,DT_large,0.784121,10
california,DT_mini,0.797055,12
california,DecisionTreeSimple,0.806478,14
california,EBM,0.660017,3
california,ElasticNetOLS,2.191356,47
california,FIGS_large,0.737994,6
california,FIGS_mini,0.754661,8
california,ForwardStepOLS,2.178697,34
california,GBM,0.650275,2
california,HSTree_large,0.768189,9
california,HSTree_mini,0.795105,11
california,HuberThreshOLS_1p5,2.237906,62
california,IterThreshOLS_1pct,2.191356,48
california,LassoBayesRidge,2.180090,35
california,LassoCV,2.087627,21
california,LassoHuber,3.149758,63
california,LassoLarsAIC_OLS,2.191356,52
california,LassoLarsAIC_Ridge,2.178053,28
california,LassoLarsAIC_Rounded3,2.194172,56
california,LassoLarsAIC_Thresh_2pct,2.191356,46
california,LassoLarsAIC_Thresh_OLS,2.191356,51
california,LassoLarsAIC_Top10,2.191356,39
california,LassoLarsAIC_Top15,2.191356,54
california,LassoLarsAIC_Top5,2.156221,23
california,LassoLarsBIC_OLS,2.178697,33
california,LassoOLS_all,2.191356,49
california,LinearPlus3Hinges,2.010873,19
california,MLP,1.088485,16
california,MutualInfoOLS,2.211900,61
california,OLS,2.191360,55
california,OMP_OLS10,2.191356,50
california,PearsonCorr_OLS10,2.191356,37
california,PyGAM,1.428598,18
california,QuantileBinOLS,0.801206,13
california,RF,0.718275,4
california,RidgeCV,2.178053,29
california,RidgeHinges3_v2,2.010873,20
california,RuleFit,0.741651,7
california,SignificanceOLS_t1,2.178697,30
california,SignificanceOLS_t2,2.211464,60
california,SparseHingeGAM,1.056948,15
california,SparsePoly2,111.508755,64
california,SparseRidge20,2.178053,26
california,StabilitySel_OLS,2.191356,36
california,TabPFN,0.603801,1
california,ThresholdOLS,2.191356,42
california,ThresholdOLS_0p5pct,2.191356,45
california,ThresholdOLS_1p5pct,2.191356,53
california,ThresholdOLS_1pct,2.191356,44
california,ThresholdOLS_3pct,2.178697,32
california,ThresholdOLS_5pct,2.142848,22
california,ThresholdRidge_1pct,2.178053,25
california,TopFeaturesOLS10,2.191356,40
california,TopFeaturesOLS12,2.191356,41
california,TopFeaturesOLS20,2.191356,43
california,TopFeaturesOLS5,2.156221,24
california,TopFeaturesOLS8,2.191356,38
california,TopFeaturesPoly2_5,122.419964,65
california,TopKHingeGAM20,1.255933,17
california,WinsorThreshOLS_1p5,0.726423,5
cpu_act,AdaptiveLassoOLS,0.552736,25
cpu_act,AdaptiveSparseRidge15,0.559027,34
cpu_act,AllRidgePlus1Quad,0.377013,20
cpu_act,BaggedOLS30,0.611378,59
cpu_act,ContribRidge90,0.551863,23
cpu_act,DT_large,0.226447,13
cpu_act,DT_mini,0.253144,17
cpu_act,DecisionTreeSimple,0.248805,15
cpu_act,EBM,0.167552,3
cpu_act,ElasticNetOLS,0.558992,32
cpu_act,FIGS_large,0.199590,10
cpu_act,FIGS_mini,0.239842,14
cpu_act,ForwardStepOLS,0.552397,24
cpu_act,GBM,0.158850,2
cpu_act,HSTree_large,0.224038,12
cpu_act,HSTree_mini,0.253052,16
cpu_act,HuberThreshOLS_1p5,0.555685,27
cpu_act,IterThreshOLS_1pct,0.559604,37
cpu_act,LassoBayesRidge,0.561983,48
cpu_act,LassoCV,0.742457,61
cpu_act,LassoHuber,0.670723,60
cpu_act,LassoLarsAIC_OLS,0.562090,50
cpu_act,LassoLarsAIC_Ridge,0.561859,47
cpu_act,LassoLarsAIC_Rounded3,1.301852,63
cpu_act,LassoLarsAIC_Thresh_2pct,0.562323,52
cpu_act,LassoLarsAIC_Thresh_OLS,0.562090,49
cpu_act,LassoLarsAIC_Top10,0.550884,22
cpu_act,LassoLarsAIC_Top15,0.562323,53
cpu_act,LassoLarsAIC_Top5,0.567352,55
cpu_act,LassoLarsBIC_OLS,0.562090,51
cpu_act,LassoOLS_all,0.558694,31
cpu_act,LinearPlus3Hinges,0.198278,7
cpu_act,MLP,912.810974,64
cpu_act,MutualInfoOLS,0.561577,46
cpu_act,OLS,0.565065,54
cpu_act,OMP_OLS10,0.555833,28
cpu_act,PearsonCorr_OLS10,0.569049,56
cpu_act,PyGAM,0.173718,5
cpu_act,QuantileBinOLS,0.844472,62
cpu_act,RF,0.199308,9
cpu_act,RidgeCV,0.559656,41
cpu_act,RidgeHinges3_v2,0.198278,8
cpu_act,RuleFit,0.318561,18
cpu_act,SignificanceOLS_t1,0.561417,45
cpu_act,SignificanceOLS_t2,0.553045,26
cpu_act,SparseHingeGAM,0.173712,4
cpu_act,SparsePoly2,0.210728,11
cpu_act,SparseRidge20,0.559027,33
cpu_act,StabilitySel_OLS,0.575266,58
cpu_act,TabPFN,0.138888,1
cpu_act,ThresholdOLS,0.559646,38
cpu_act,ThresholdOLS_0p5pct,0.559604,36
cpu_act,ThresholdOLS_1p5pct,0.559646,40
cpu_act,ThresholdOLS_1pct,0.559604,35
cpu_act,ThresholdOLS_3pct,0.559646,39
cpu_act,ThresholdOLS_5pct,0.550012,21
cpu_act,ThresholdRidge_1pct,0.559940,42
cpu_act,TopFeaturesOLS10,0.561399,44
cpu_act,TopFeaturesOLS12,0.558694,29
cpu_act,TopFeaturesOLS20,0.558694,30
cpu_act,TopFeaturesOLS5,0.574590,57
cpu_act,TopFeaturesOLS8,0.560914,43
cpu_act,TopFeaturesPoly2_5,1485848795.421317,65
cpu_act,TopKHingeGAM20,0.191486,6
cpu_act,WinsorThreshOLS_1p5,0.359628,19
elevators,AdaptiveLassoOLS,0.429869,32
elevators,AdaptiveSparseRidge15,0.848144,55
elevators,AllRidgePlus1Quad,0.803493,51
elevators,BaggedOLS30,0.429681,27
elevators,ContribRidge90,0.876727,58
elevators,DT_large,0.704357,43
elevators,DT_mini,0.743616,47
elevators,DecisionTreeSimple,0.726676,45
elevators,EBM,0.397748,8
elevators,ElasticNetOLS,0.429422,16
elevators,FIGS_large,0.676476,41
elevators,FIGS_mini,0.748350,49
elevators,ForwardStepOLS,0.429869,31
elevators,GBM,0.522039,39
elevators,HSTree_large,0.723031,44
elevators,HSTree_mini,0.751891,50
elevators,HuberThreshOLS_1p5,0.881720,59
elevators,IterThreshOLS_1pct,0.429423,20
elevators,LassoBayesRidge,0.903272,61
elevators,LassoCV,0.904215,63
elevators,LassoHuber,0.944887,64
elevators,LassoLarsAIC_OLS,0.429423,24
elevators,LassoLarsAIC_Ridge,0.845681,53
elevators,LassoLarsAIC_Rounded3,0.448778,36
elevators,LassoLarsAIC_Thresh_2pct,0.429013,11
elevators,LassoLarsAIC_Thresh_OLS,0.429423,23
elevators,LassoLarsAIC_Top10,0.429523,26
elevators,LassoLarsAIC_Top15,0.429423,25
elevators,LassoLarsAIC_Top5,0.477507,38
elevators,LassoLarsBIC_OLS,0.428681,9
elevators,LassoOLS_all,0.429018,14
elevators,LinearPlus3Hinges,0.381446,5
elevators,MLP,0.983679,65
elevators,MutualInfoOLS,0.744850,48
elevators,OLS,0.903981,62
elevators,OMP_OLS10,0.428988,10
elevators,PearsonCorr_OLS10,0.741344,46
elevators,PyGAM,0.375632,3
elevators,QuantileBinOLS,0.851257,56
elevators,RF,0.623118,40
elevators,RidgeCV,0.876481,57
elevators,RidgeHinges3_v2,0.381446,6
elevators,RuleFit,0.679608,42
elevators,SignificanceOLS_t1,0.429423,22
elevators,SignificanceOLS_t2,0.429694,28
elevators,SparseHingeGAM,0.378231,4
elevators,SparsePoly2,0.372419,2
elevators,SparseRidge20,0.848144,54
elevators,StabilitySel_OLS,0.429728,30
elevators,TabPFN,0.292012,1
elevators,ThresholdOLS,0.429423,17
elevators,ThresholdOLS_0p5pct,0.429423,19
elevators,ThresholdOLS_1p5pct,0.429423,21
elevators,ThresholdOLS_1pct,0.429423,18
elevators,ThresholdOLS_3pct,0.429013,12
elevators,ThresholdOLS_5pct,0.430222,34
elevators,ThresholdRidge_1pct,0.830929,52
elevators,TopFeaturesOLS10,0.429724,29
elevators,TopFeaturesOLS12,0.429336,15
elevators,TopFeaturesOLS20,0.429018,13
elevators,TopFeaturesOLS5,0.462022,37
elevators,TopFeaturesOLS8,0.429928,33
elevators,TopFeaturesPoly2_5,0.882663,60
elevators,TopKHingeGAM20,0.397411,7
elevators,WinsorThreshOLS_1p5,0.431966,35
house_16H,AdaptiveLassoOLS,0.949547,49
house_16H,AdaptiveSparseRidge15,0.940023,21
house_16H,AllRidgePlus1Quad,0.886203,11
house_16H,BaggedOLS30,0.950723,50
house_16H,ContribRidge90,0.948572,47
house_16H,DT_large,1.003924,57
house_16H,DT_mini,1.042565,61
house_16H,DecisionTreeSimple,0.987097,56
house_16H,EBM,0.761079,2
house_16H,ElasticNetOLS,0.942053,26
house_16H,FIGS_large,1.031391,59
house_16H,FIGS_mini,1.034705,60
house_16H,ForwardStepOLS,0.942508,28
house_16H,GBM,0.840001,6
house_16H,HSTree_large,0.887148,12
house_16H,HSTree_mini,0.916714,17
house_16H,HuberThreshOLS_1p5,1.020889,58
house_16H,IterThreshOLS_1pct,0.946640,38
house_16H,LassoBayesRidge,0.938513,19
house_16H,LassoCV,1.042664,62
house_16H,LassoHuber,1.057340,64
house_16H,LassoLarsAIC_OLS,0.946640,41
house_16H,LassoLarsAIC_Ridge,0.944000,32
house_16H,LassoLarsAIC_Rounded3,0.946424,33
house_16H,LassoLarsAIC_Thresh_2pct,0.946640,37
house_16H,LassoLarsAIC_Thresh_OLS,0.946640,39
house_16H,LassoLarsAIC_Top10,0.962537,54
house_16H,LassoLarsAIC_Top15,0.947593,45
house_16H,LassoLarsAIC_Top5,0.971674,55
house_16H,LassoLarsBIC_OLS,0.942053,27
house_16H,LassoOLS_all,0.942053,25
house_16H,LinearPlus3Hinges,0.896429,14
house_16H,MLP,1.519955,65
house_16H,MutualInfoOLS,0.943597,29
house_16H,OLS,1.044770,63
house_16H,OMP_OLS10,0.949520,48
house_16H,PearsonCorr_OLS10,0.943715,30
house_16H,PyGAM,0.901921,16
house_16H,QuantileBinOLS,0.834967,5
house_16H,RF,0.829627,4
house_16H,RidgeCV,0.937416,18
house_16H,RidgeHinges3_v2,0.896429,15
house_16H,RuleFit,0.861472,8
house_16H,SignificanceOLS_t1,0.947593,46
house_16H,SignificanceOLS_t2,0.951079,51
house_16H,SparseHingeGAM,0.825704,3
house_16H,SparsePoly2,0.860670,7
house_16H,SparseRidge20,0.940023,20
house_16H,StabilitySel_OLS,0.942053,23
house_16H,TabPFN,0.728232,1
house_16H,ThresholdOLS,0.946640,34
house_16H,ThresholdOLS_0p5pct,0.946640,36
house_16H,ThresholdOLS_1p5pct,0.946640,42
house_16H,ThresholdOLS_1pct,0.946640,35
house_16H,ThresholdOLS_3pct,0.946640,40
house_16H,ThresholdOLS_5pct,0.947593,44
house_16H,ThresholdRidge_1pct,0.944000,31
house_16H,TopFeaturesOLS10,0.947165,43
house_16H,TopFeaturesOLS12,0.941379,22
house_16H,TopFeaturesOLS20,0.942053,24
house_16H,TopFeaturesOLS5,0.954331,53
house_16H,TopFeaturesOLS8,0.953925,52
house_16H,TopFeaturesPoly2_5,0.882131,10
house_16H,TopKHingeGAM20,0.874748,9
house_16H,WinsorThreshOLS_1p5,0.894221,13
kin8nm,AdaptiveLassoOLS,0.811674,17
kin8nm,AdaptiveSparseRidge15,0.811936,48
kin8nm,AllRidgePlus1Quad,0.809734,13
kin8nm,BaggedOLS30,0.812367,50
kin8nm,ContribRidge90,0.820167,53
kin8nm,DT_large,0.890079,65
kin8nm,DT_mini,0.877689,63
kin8nm,DecisionTreeSimple,0.880616,64
kin8nm,EBM,0.715820,3
kin8nm,ElasticNetOLS,0.811674,29
kin8nm,FIGS_large,0.802428,11
kin8nm,FIGS_mini,0.849805,59
kin8nm,ForwardStepOLS,0.811674,28
kin8nm,GBM,0.755496,4
kin8nm,HSTree_large,0.870956,61
kin8nm,HSTree_mini,0.874538,62
kin8nm,HuberThreshOLS_1p5,0.811674,16
kin8nm,IterThreshOLS_1pct,0.811674,30
kin8nm,LassoBayesRidge,0.811915,45
kin8nm,LassoCV,0.811735,44
kin8nm,LassoHuber,0.814477,51
kin8nm,LassoLarsAIC_OLS,0.811674,38
kin8nm,LassoLarsAIC_Ridge,0.811936,49
kin8nm,LassoLarsAIC_Rounded3,0.811696,42
kin8nm,LassoLarsAIC_Thresh_2pct,0.811674,27
kin8nm,LassoLarsAIC_Thresh_OLS,0.811674,34
kin8nm,LassoLarsAIC_Top10,0.811674,19
kin8nm,LassoLarsAIC_Top15,0.811674,41
kin8nm,LassoLarsAIC_Top5,0.825317,55
kin8nm,LassoLarsBIC_OLS,0.811674,40
kin8nm,LassoOLS_all,0.811674,31
kin8nm,LinearPlus3Hinges,0.801697,9
kin8nm,MLP,0.491650,2
kin8nm,MutualInfoOLS,0.829085,57
kin8nm,OLS,0.811674,15
kin8nm,OMP_OLS10,0.811674,32
kin8nm,PearsonCorr_OLS10,0.811674,35
kin8nm,PyGAM,0.804420,12
kin8nm,QuantileBinOLS,0.832167,58
kin8nm,RF,0.781796,5
kin8nm,RidgeCV,0.811697,43
kin8nm,RidgeHinges3_v2,0.801697,10
kin8nm,RuleFit,0.870177,60
kin8nm,SignificanceOLS_t1,0.811674,37
kin8nm,SignificanceOLS_t2,0.815924,52
kin8nm,SparseHingeGAM,0.798912,8
kin8nm,SparsePoly2,0.797463,6
kin8nm,SparseRidge20,0.811936,47
kin8nm,StabilitySel_OLS,0.811674,25
kin8nm,TabPFN,0.376809,1
kin8nm,ThresholdOLS,0.811674,22
kin8nm,ThresholdOLS_0p5pct,0.811674,26
kin8nm,ThresholdOLS_1p5pct,0.811674,39
kin8nm,ThresholdOLS_1pct,0.811674,24
kin8nm,ThresholdOLS_3pct,0.811674,36
kin8nm,ThresholdOLS_5pct,0.811674,33
kin8nm,ThresholdRidge_1pct,0.811936,46
kin8nm,TopFeaturesOLS10,0.811674,20
kin8nm,TopFeaturesOLS12,0.811674,21
kin8nm,TopFeaturesOLS20,0.811674,23
kin8nm,TopFeaturesOLS5,0.825317,56
kin8nm,TopFeaturesOLS8,0.811674,18
kin8nm,TopFeaturesPoly2_5,0.821529,54
kin8nm,TopKHingeGAM20,0.797839,7
kin8nm,WinsorThreshOLS_1p5,0.811570,14
pmlb/1027_ESL,AdaptiveLassoOLS,0.361241,6
pmlb/1027_ESL,AdaptiveSparseRidge15,0.361933,39
pmlb/1027_ESL,AllRidgePlus1Quad,0.369055,48
pmlb/1027_ESL,BaggedOLS30,0.360485,2
pmlb/1027_ESL,ContribRidge90,0.361933,40
pmlb/1027_ESL,DT_large,0.529210,61
pmlb/1027_ESL,DT_mini,0.576479,65
pmlb/1027_ESL,DecisionTreeSimple,0.562239,63
pmlb/1027_ESL,EBM,0.364431,44
pmlb/1027_ESL,ElasticNetOLS,0.361241,17
pmlb/1027_ESL,FIGS_large,0.437071,57
pmlb/1027_ESL,FIGS_mini,0.539162,62
pmlb/1027_ESL,ForwardStepOLS,0.361241,32
pmlb/1027_ESL,GBM,0.380681,56
pmlb/1027_ESL,HSTree_large,0.519495,60
pmlb/1027_ESL,HSTree_mini,0.575679,64
pmlb/1027_ESL,HuberThreshOLS_1p5,0.361241,5
pmlb/1027_ESL,IterThreshOLS_1pct,0.361241,18
pmlb/1027_ESL,LassoBayesRidge,0.361353,36
pmlb/1027_ESL,LassoCV,0.361351,35
pmlb/1027_ESL,LassoHuber,0.362623,43
pmlb/1027_ESL,LassoLarsAIC_OLS,0.361241,26
pmlb/1027_ESL,LassoLarsAIC_Ridge,0.361933,41
pmlb/1027_ESL,LassoLarsAIC_Rounded3,0.361234,3
pmlb/1027_ESL,LassoLarsAIC_Thresh_2pct,0.361241,16
pmlb/1027_ESL,LassoLarsAIC_Thresh_OLS,0.361241,22
pmlb/1027_ESL,LassoLarsAIC_Top10,0.361241,8
pmlb/1027_ESL,LassoLarsAIC_Top15,0.361241,30
pmlb/1027_ESL,LassoLarsAIC_Top5,0.361241,11
pmlb/1027_ESL,LassoLarsBIC_OLS,0.361241,29
pmlb/1027_ESL,LassoOLS_all,0.361241,19
pmlb/1027_ESL,LinearPlus3Hinges,0.375733,54
pmlb/1027_ESL,MLP,0.370737,51
pmlb/1027_ESL,MutualInfoOLS,0.361241,34
pmlb/1027_ESL,OLS,0.361241,4
pmlb/1027_ESL,OMP_OLS10,0.361241,20
pmlb/1027_ESL,PearsonCorr_OLS10,0.361241,33
